stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, wheelchair_boarding
TINLEYPARK, Tinley Park, , 41.5758333, -87.7827778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.TINLEYPARK.html, 1
OAKFOREST, Oak Forest, , 41.6044444, -87.7383333, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.OAKFOREST.html, 1
MIDLOTHIAN, Midlothian, , 41.6263889, -87.7116667, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.MIDLOTHIAN.html, 1
ROBBINS, Robbins, , 41.6408333, -87.6944444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.ROBBINS.html, 1
KENSINGTN, Kensington, , 41.6858333, -87.6122222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.KENSINGTN.html, 1
59TH-UP, 59th St. (U. of Chicago), , 41.7880556, -87.5886111, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.59TH-UP.html, 0
UNIVERSITY, University Park, , 41.4594444, -87.7233333, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.UNIVERSITY.html, 1
RICHTON, Richton Park, , 41.4855556, -87.7094444, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.RICHTON.html, 1
MATTESON, Matteson, , 41.4986111, -87.7022222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.MATTESON.html, 0
211TH-UP, 211th St., , 41.5061111, -87.6983333, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.211TH-UP.html, 1
OLYMPIA, Olympia Fields, , 41.5213889, -87.6900000, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.OLYMPIA.html, 0
FLOSSMOOR, Flossmoor, , 41.5430556, -87.6786111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.FLOSSMOOR.html, 1
HOMEWOOD, Homewood, , 41.5622222, -87.6686111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.HOMEWOOD.html, 1
CALUMET, Calumet, , 41.5736111, -87.6625000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.CALUMET.html, 1
EDISONPK, Edison Park, , 42.0022222, -87.8175000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.EDISONPK.html, 1
NORWOODP, Norwood Park, , 41.9916667, -87.7988889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.NORWOODP.html, 1
GLADSTONEP, Gladstone Park, , 41.9797222, -87.7780556, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.GLADSTONEP.html, 0
JEFFERSONP, Jefferson Park, , 41.9713889, -87.7633333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.JEFFERSONP.html, 1
BARTLETT, Bartlett, , 41.9922222, -88.1838889, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.BARTLETT.html, 1
47TH-UP, 47th St. (Kenwood), , 41.8097222, -87.5913889, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.47TH-UP.html, 0
51ST-53RD, 51st/53rd St. (Hyde Park), , 41.8000000, -87.5869444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.51ST-53RD.html, 1
55-56-57TH, 55th - 56th - 57th St., , 41.7933333, -87.5875000, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.55-56-57TH.html, 1
63RD-UP, 63rd St., , 41.7802778, -87.5905556, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.63RD-UP.html, 0
PRAIRIEXNG, Prairie Crossing, , 42.3208333, -88.0152778, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.PRAIRIEXNG.html, 1
